141733920768,RETURN,-1,,,return json.load(f),17,28,943,962,2
141733920769,RETURN,-1,,,return [],13,30,1012,1021,1
141733920770,RETURN,-1,,,return [],5,31,1026,1035,3
141733920771,RETURN,-1,,,return value,9,78,2703,2715,4
141733920772,RETURN,-1,,,return int(raw),13,85,2885,2900,1
141733920773,RETURN,-1,,,return raw,13,94,3157,3167,2
141733920774,RETURN,-1,,,"return input(f""{prompt} (y/n): "").strip().lower() == ""y",5,100,3334,3389,2
141733920775,RETURN,-1,,,return hashlib.sha256((password + salt).encode()).hexdigest(),5,103,3426,3487,1
141733920776,RETURN,-1,,,"return bool(re.match(r""^[\\w.\\-+]+@[\\w\\-]+\\.[a-zA-Z]{2,}$"", email))",5,108,3600,3666,1
141733920777,RETURN,-1,,,"return bool(re.match(r""^\\+?[\\d\\s\\-]{7,15}$"", phone))",5,111,3697,3749,1
141733920778,RETURN,-1,,,"return bool(re.match(r""^\\d{10,20}$"", nid))",5,114,3784,3826,1
141733920779,RETURN,-1,,,lambda p: len(p) >= 6,24,126,4447,4468,1
141733920780,RETURN,-1,,,return,9,133,4693,4699,2
141733920781,RETURN,-1,,,return True,17,161,5686,5697,2
141733920782,RETURN,-1,,,return False,5,164,5808,5820,5
141733920783,RETURN,-1,,,return user,21,180,6527,6538,2
141733920784,RETURN,-1,,,return None,5,183,6658,6669,5
141733920785,RETURN,-1,,,return,13,202,7309,7315,2
141733920786,RETURN,-1,,,return,13,214,7774,7780,2
141733920787,RETURN,-1,,,return,13,219,7992,7998,2
141733920788,RETURN,-1,,,return,13,225,8274,8280,2
141733920789,RETURN,-1,,,return,13,229,8382,8388,2
141733920790,RETURN,-1,,,return,9,234,8529,8535,1
141733920791,RETURN,-1,,,return,9,265,9532,9538,2
141733920792,RETURN,-1,,,return,9,293,10575,10581,2
141733920793,RETURN,-1,,,return,9,297,10683,10689,2
141733920794,RETURN,-1,,,return,9,311,11229,11235,2
141733920795,RETURN,-1,,,return,9,324,11645,11651,2
141733920796,RETURN,-1,,,return,9,339,12188,12194,2
141733920797,RETURN,-1,,,return,9,344,12277,12283,1
141733920798,RETURN,-1,,,return,9,351,12461,12467,2
141733920799,RETURN,-1,,,return,9,360,12783,12789,2
141733920800,RETURN,-1,,,return users,5,29,989,1001,4
141733920801,RETURN,-1,,,"return [u[""password""].upper() for u in users]",5,34,1103,1148,2
141733920802,RETURN,-1,,,return len(users),5,39,1263,1280,2
141733920803,RETURN,-1,,,return None,9,22,572,583,1
141733920804,RETURN,-1,,,return my_tracer,5,26,777,793,6
141733920805,RETURN,-1,,,"return is_valid, hashed_password",5,33,1004,1036,4
