107374182400,METHOD,<empty>,<empty>,<empty>,1,9,Project.py,Project.py:<module>,<empty>,,false,1,460,<module>,0,15980,1,
107374182401,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._load,<empty>,,false,23,32,_load,706,1037,1,
107374182402,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._save,<empty>,,false,33,37,_save,1037,1173,3,
107374182403,METHOD,<empty>,<empty>,<empty>,1,80,Project.py,Project.py:<module>.init_data,<empty>,,false,38,67,init_data,1173,2326,5,
107374182404,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._ask,<empty>,,false,68,79,_ask,2326,2717,7,
107374182405,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._ask_int,<empty>,,false,80,87,_ask_int,2717,2948,9,
107374182406,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._ask_date,<empty>,,false,88,97,_ask_date,2948,3254,11,
107374182407,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._confirm,<empty>,,false,98,101,_confirm,3254,3392,13,
107374182408,METHOD,<empty>,<empty>,<empty>,1,80,Project.py,Project.py:<module>._hash,<empty>,,false,102,106,_hash,3392,3571,15,
107374182409,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._valid_email,<empty>,,false,107,109,_valid_email,3571,3668,17,
107374182410,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>._valid_phone,<empty>,,false,110,112,_valid_phone,3668,3751,19,
107374182411,METHOD,<empty>,<empty>,<empty>,1,80,Project.py,Project.py:<module>._valid_national_id,<empty>,,false,113,117,_valid_national_id,3751,3910,21,
107374182412,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>.register_user,<empty>,,false,118,149,register_user,3910,5150,23,
107374182413,METHOD,<empty>,<empty>,<empty>,24,43,Project.py,Project.py:<module>.register_user.<lambda>0,<empty>,,false,126,126,<lambda>0,4447,4468,1,
107374182414,METHOD,<empty>,<empty>,<empty>,1,0,Project.py,Project.py:<module>.login_admin,<empty>,,false,150,166,login_admin,5150,5823,25,
107374182415,METHOD,<empty>,<empty>,<empty>,1,80,Project.py,Project.py:<module>.login_user,<empty>,,false,167,186,login_user,5823,6753,27,
